sample,sampname,samplabel,qpcr.rawseqs,qpcr.dilution,qpcr.totalseqs,qpcr.ctvalue
10A.RT.D11,D11 at 20C A,T19,2430000,11,26700000,16.91007741
10B.RT.D11,D11 at 20C B,T20,41500000,11,457000000,11.75270398
11A.4C.D11,D11 at 4C A,T21,5450000,9,49100000,15.43118572
11B.4C.D11,D11 at 4C B,T22,20200000,9,182000000,13.05308565
12A.-20.D11,D11 at -20C A,T23,105000000,13,1370000000,9.99901549
12B.-20.D11,D11 at -20C B,T24,39100000,13,508000000,11.82772223
13A.-80.D11,D11 at -80C A,T25,4970000,13,64600000,15.60147572
13B.-80.D11,D11 at -80C B,T26,9970000,13,130000000,14.32317924
1A,Control 1,T1,99500000,11,1090000000,9.834627151
1B,Control 2,T2,122000000,11,1340000000,9.539402644
2A.RT.D3,D3 at 20C A,T3,103000000,11,1130000000,9.796677907
2B.RT.D3,D3 at 20C B,T4,93000000,11,1020000000,9.935086886
3A.4C.D3,D3 at 4C A,T5,87500000,11,963000000,10.09860293
3B.4C.D3,D3 at 4C B,T6,80600000,11,887000000,10.20465978
4A.-20.D3,D3 at -20C A,T7,46200000,13,601000000,11.54257298
4B.-20.D3,D3 at -20C B,T8,86300000,13,1120000000,10.36789608
5A.-80.D3,D3 at -80C A,T9,95600000,13,1240000000,10.17986838
5B.-80.D3,D3 at -80C B,T10,61600000,13,801000000,10.99764697
6A.RT.D8,D8 at 20C A,T11,46100000,13,599000000,11.5200723
6B.RT.D8,D8 at 20C B,T12,49100000,13,638000000,11.41553783
7A.4C.D8,D8 at 4C A,T13,40300000,11,443000000,11.77597586
7B.4C.D8,D8 at 4C B,T14,58500000,13,761000000,11.07843018
8A.-20.D8,D8 at -20C A,T15,69900000,13,909000000,10.75103029
8B.-20.D8,D8 at -20C B,T16,58700000,13,763000000,11.08603764
9A.-80.D8,D8 at -80C A,T17,112000000,13,1460000000,9.892355283
9B.-80.D8,D8 at -80C B,T18,78300000,13,1020000000,10.54560788
TY.10_D0_UV,D0 UV pre-extraction,TY10,41400000,3,124000000,11.14199797
TY.11_D6_UV,D6 UV pre-extraction,TY11,37300000,11,410000000,11.30318228
TY.12_D9_UV,D9 UV pre-extraction,TY12,44300000,11,487000000,11.05177498
TY.13_D0_75C_UV,D0 75C + UV pre-ex,TY13,36100000,5,181000000,11.3543218
TY.14_D6_75C_UV,D6 75C + UV pre-ex,TY14,54800000,11,603000000,10.79719861
TY.15_D9_75C_UV,D9 75C + UV pre-ex,TY15,28900000,11,318000000,11.68102932
TY.16_D0_AC_UV,D0 autoclave + UV pre-ex,TY16,1230000,2,2460000,16.34059397
TY.17_D6_AC_UV,D6 autoclave + UV pre-ex,TY17,4310000,1,4310000,14.48034191
TY.18_D9_AC_UV,D9 autoclave + UV pre-ex,TY18,444000,1,444000,17.85275205
TY.19_D0_DNA_UV,D0 UV post-extraction,TY19,NA,NA,NA,NA
TY.1_D0_NT,Control 3,TY2,39800000,11,438000000,11.20551236
TY.20_D6_DNA_UV,D6 UV post-extraction,TY20,NA,NA,NA,NA
TY.21_D9_DNA_UV,D9 UV post-extraction,TY21,NA,NA,NA,NA
TY.2_D6_Dry,D6 dried,TY2,39800000,11,438000000,11.20551236
TY.3_D9_Dry,D9 dried,TY3,39900000,11,439000000,11.2111702
TY.4_D0_75C,D0 75C heat,TY4,70200000,11,772000000,10.35188802
TY.5_D6_75C,D6 75C heat,TY5,36200000,11,398000000,11.33592923
TY.6_D9_75C,D9 75C heat,TY6,32300000,11,355000000,11.53121312
TY.7_D0_AC,D0 autoclave,TY7,386000,1,386000,18.05305099
TY.8_D6_AC,D6 autoclave,TY8,1240000,2,2480000,16.32399178
TY.9_D9_AC,D9 autoclave,TY9,69800,1,69800,20.5828654
